Longitude,Latitude,PD_DESC
-73.88490753,40.66097671,"MARIJUANA, SALE 4 & 5"
-73.94803075,40.82711561,"MARIJUANA, POSSESSION 4 & 5"
-74.08507197,40.64465764,"MARIJUANA, POSSESSION 4 & 5"
-73.99393724,40.75898648,"MARIJUANA, SALE 4 & 5"
-73.94285249,40.81909584,"MARIJUANA, POSSESSION 4 & 5"
-73.79152389,40.71125873,"MARIJUANA, POSSESSION 4 & 5"
-73.79102208,40.67457937,"MARIJUANA, POSSESSION 4 & 5"
-73.76573664,40.71236744,"MARIJUANA, POSSESSION 4 & 5"
-73.93583543,40.76370346,"MARIJUANA, POSSESSION 4 & 5"
-73.89940208,40.85837313,"MARIJUANA, POSSESSION 4 & 5"
-73.91621424,40.81070267,"MARIJUANA, POSSESSION 4 & 5"
-74.00524693,40.67575441,"MARIJUANA, POSSESSION 4 & 5"
-74.00216698,40.75095549,"MARIJUANA, POSSESSION 4 & 5"
-73.91409889,40.81230952,"MARIJUANA, POSSESSION 4 & 5"
-73.90937635,40.84484177,"MARIJUANA, POSSESSION 4 & 5"
-73.9581494,40.61822447,"MARIJUANA, POSSESSION 4 & 5"
-73.88516405,40.63549437,"MARIJUANA, SALE 4 & 5"
-73.91556606,40.82901222,"MARIJUANA, POSSESSION 4 & 5"
-73.84689421,40.87222555,"MARIJUANA, SALE 4 & 5"
-73.82372905,40.81855258,"MARIJUANA, POSSESSION 4 & 5"
-73.91556606,40.82901222,"MARIJUANA, SALE 4 & 5"
-73.77489426,40.70942685,"MARIJUANA, POSSESSION 4 & 5"
-73.77489426,40.70942685,"MARIJUANA, POSSESSION 4 & 5"
-73.91535378,40.83113922,"MARIJUANA, POSSESSION 4 & 5"
-73.92012953,40.69982865,"MARIJUANA, POSSESSION 4 & 5"
-73.93608359,40.8399082,"MARIJUANA, POSSESSION 4 & 5"
-73.90849839,40.77628884,"MARIJUANA, POSSESSION 4 & 5"
-73.8620303,40.82151692,"MARIJUANA, POSSESSION 4 & 5"
-73.92311038,40.86702345,"MARIJUANA, POSSESSION 4 & 5"
